,DISTRIBUTION,R,N,EPSILON,k,AVERAGE ERROR,STD OF ERROR,STD OF ERROR ON SAMPLE
0,gaussian,100,50,0.1,N/A,8.622,7.383435243841446,2.4859034574978973
1,gaussian,1000,50,0.1,N/A,9.026,7.755599525504137,2.5110802456313497
2,gaussian,10000,50,0.1,N/A,9.122,7.411013156107605,2.8532991430973373
3,gaussian,100,100,0.1,N/A,9.654,9.200776271597958,3.0710395634051997
4,gaussian,1000,100,0.1,N/A,9.806,10.226062976532074,3.558674472328145
5,gaussian,10000,100,0.1,N/A,10.13,9.791889501010518,3.508803214772809
6,gaussian,100,500,0.1,N/A,9.096,9.713844964791233,3.151378111239589
7,gaussian,1000,500,0.1,N/A,10.98,10.28686541177632,3.350701419106155
8,gaussian,10000,500,0.1,N/A,10.176,9.919325783539929,3.3903722509482646
9,gaussian,100,2000,0.1,N/A,9.796,8.17669762190091,4.295297894209434
10,gaussian,1000,2000,0.1,N/A,9.324,8.686254889191314,2.318323532210291
11,gaussian,10000,2000,0.1,N/A,9.288,9.030230118884013,2.9483310533249147
12,gaussian,100,10000,0.1,N/A,28.392,18.47956536285418,18.279670018903516
13,gaussian,1000,10000,0.1,N/A,9.356,10.101943575372019,3.7044384189779698
14,gaussian,10000,10000,0.1,N/A,10.266,9.517312856053435,2.635952199870096
15,poisson,100,50,0.1,N/A,16.994,9.318045073941207,3.1461983408551983
16,poisson,1000,50,0.1,N/A,24.004,5.740381868830679,1.9721014172704203
17,poisson,10000,50,0.1,N/A,25.796,2.0145431243832927,0.606946455628501
18,poisson,100,100,0.1,N/A,14.922,15.964583176519206,5.636605006562018
19,poisson,1000,100,0.1,N/A,34.136,21.183236391071127,6.824859265948272
20,poisson,10000,100,0.1,N/A,49.326,8.125252242238389,2.580295331933925
21,poisson,100,500,0.1,N/A,8.42,8.331122373366027,4.889212615544552
22,poisson,1000,500,0.1,N/A,9.674,8.1503204844963,4.103403952817709
23,poisson,10000,500,0.1,N/A,10.518,9.95618782466462,4.79661088686585
24,poisson,100,2000,0.1,N/A,22.004,16.247583943466797,16.128
25,poisson,1000,2000,0.1,N/A,23.072,15.391257778362364,15.15022164854363
26,poisson,10000,2000,0.1,N/A,23.764,16.985296700381774,16.87932178732309
27,poisson,100,10000,0.1,N/A,87.84,40.449158211265654,40.449158211265654
28,poisson,1000,10000,0.1,N/A,92.44,49.608531524325535,49.608531524325535
29,poisson,10000,10000,0.1,N/A,91.58,45.10258972609,45.10258972609001
30,bimodal,1000,50,0.1,10,21.372,8.332923616594599,2.459678027710131
31,bimodal,1000,50,0.1,100,10.402,10.528076557472405,4.481628721793005
32,bimodal,1000,50,0.1,200,6.622,8.267957184214248,3.1000187096209597
33,bimodal,1000,100,0.1,10,21.33,21.91951413695112,8.888920069389757
34,bimodal,1000,100,0.1,100,6.706,11.328175669541853,4.7640071368544366
35,bimodal,1000,100,0.1,200,4.592,7.8743594025164985,3.4652468887512184
36,bimodal,1000,500,0.1,10,9.8,5.716642371182581,5.71664237118258
37,bimodal,1000,500,0.1,100,10.18,6.025578810371665,6.025578810371664
38,bimodal,1000,500,0.1,200,9.32,6.110450065257059,6.110450065257059
39,bimodal,1000,2000,0.1,10,15.64,12.315453706624048,12.31545370662405
40,bimodal,1000,2000,0.1,100,16.98,15.061859114996395,15.061859114996395
41,bimodal,1000,2000,0.1,200,17.28,14.266099677206803,14.266099677206803
42,bimodal,1000,10000,0.1,10,35.98,28.75029738976625,28.75029738976625
43,bimodal,1000,10000,0.1,100,41.42,32.612936083707645,32.612936083707645
44,bimodal,1000,10000,0.1,200,34.98,27.32946395376243,27.32946395376243
